"id","email","first_name","last_name","role_name","office_name","office_level","parent_office_name","scope_bucket","seed_group"
"41","chief.unit36@denr.gov.ph","Division Chief","Unit 36","DIVISION_CHIEF","General Services","Section","Administrative Division","Section","Division/Section seeded"
"39","chief.unit34@denr.gov.ph","Division Chief","Unit 34","DIVISION_CHIEF","HRDM (Human Resource Development Management)","Section","Administrative Division","Section","Division/Section seeded"
"26","chief.unit21@denr.gov.ph","Division Chief","Unit 21","DIVISION_CHIEF","Land Evaluation Surveys","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"29","chief.unit24@denr.gov.ph","Division Chief","Unit 24","DIVISION_CHIEF","Land Records","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"36","chief.unit31@denr.gov.ph","Division Chief","Unit 31","DIVISION_CHIEF","Monitoring & Evaluation","Section","Planning and Management Division (PMD)","Section","Division/Section seeded"
"28","chief.unit23@denr.gov.ph","Division Chief","Unit 23","DIVISION_CHIEF","Original & Other Surveys","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"30","chief.unit25@denr.gov.ph","Division Chief","Unit 25","DIVISION_CHIEF","PA Management & Biodiversity Conservation","Section","Conservation & Devt. Division","Section","Division/Section seeded"
"24","chief.unit19@denr.gov.ph","Division Chief","Unit 19","DIVISION_CHIEF","Patents and Deeds","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
"38","chief.unit33@denr.gov.ph","Division Chief","Unit 33","DIVISION_CHIEF","Personnel","Section","Administrative Division","Section","Division/Section seeded"
"35","chief.unit30@denr.gov.ph","Division Chief","Unit 30","DIVISION_CHIEF","Planning & Programming","Section","Planning and Management Division (PMD)","Section","Division/Section seeded"
"40","chief.unit35@denr.gov.ph","Division Chief","Unit 35","DIVISION_CHIEF","Procurement","Section","Administrative Division","Section","Division/Section seeded"
"31","chief.unit26@denr.gov.ph","Division Chief","Unit 26","DIVISION_CHIEF","Production Forest Management","Section","Conservation & Devt. Division","Section","Division/Section seeded"
"42","chief.unit37@denr.gov.ph","Division Chief","Unit 37","DIVISION_CHIEF","Records","Section","Administrative Division","Section","Division/Section seeded"
"37","chief.unit32@denr.gov.ph","Division Chief","Unit 32","DIVISION_CHIEF","Regional ICT Unit","Section","Planning and Management Division (PMD)","Section","Division/Section seeded"
"33","chief.unit28@denr.gov.ph","Division Chief","Unit 28","DIVISION_CHIEF","Surveillance & Intelligence","Section","Enforcement Division","Section","Division/Section seeded"
"25","chief.unit20@denr.gov.ph","Division Chief","Unit 20","DIVISION_CHIEF","Surveys & Control","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"23","chief.unit18@denr.gov.ph","Division Chief","Unit 18","DIVISION_CHIEF","Water Resources Utilization","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
"22","chief.unit17@denr.gov.ph","Division Chief","Unit 17","DIVISION_CHIEF","Wildlife Resource Permitting","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
"4","ana.cenro.banga@denr.gov.ph","Ana","Reyes","SECTION_STAFF","CENRO Banga","Community","PENRO SOUTH COTABATO","CENRO","Base/Manual seeded"
"82","staff.unit14@denr.gov.ph","Section Staff","Unit 14","SECTION_STAFF","Administrative Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"79","staff.unit11@denr.gov.ph","Section Staff","Unit 11","SECTION_STAFF","Conservation & Devt. Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"80","staff.unit12@denr.gov.ph","Section Staff","Unit 12","SECTION_STAFF","Enforcement Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"83","staff.unit15@denr.gov.ph","Section Staff","Unit 15","SECTION_STAFF","Finance Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"81","staff.unit13@denr.gov.ph","Section Staff","Unit 13","SECTION_STAFF","Legal Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"77","staff.unit9@denr.gov.ph","Section Staff","Unit 9","SECTION_STAFF","Licenses, Patents & Deeds Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"9","section.staff@denr.gov.ph","Liza","Fernandez","SECTION_STAFF","Planning and Management Division (PMD)","Division","Office of the Regional Executive Director (ORED)","Division","Base/Manual seeded"
"76","staff.unit3@denr.gov.ph","Section Staff","Unit 3","SECTION_STAFF","Planning and Management Division (PMD)","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"78","staff.unit10@denr.gov.ph","Section Staff","Unit 10","SECTION_STAFF","Surveys & Mapping Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"107","staff.unit39@denr.gov.ph","Section Staff","Unit 39","SECTION_STAFF","Accounting","Section","Finance Division","Section","Division/Section seeded"
"90","staff.unit22@denr.gov.ph","Section Staff","Unit 22","SECTION_STAFF","Agretacion Surveys & Corrections","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"108","staff.unit40@denr.gov.ph","Section Staff","Unit 40","SECTION_STAFF","Budget","Section","Finance Division","Section","Division/Section seeded"
"106","staff.unit38@denr.gov.ph","Section Staff","Unit 38","SECTION_STAFF","Cash","Section","Finance Division","Section","Division/Section seeded"
"95","staff.unit27@denr.gov.ph","Section Staff","Unit 27","SECTION_STAFF","Coastal Resources & Foreshore Management","Section","Conservation & Devt. Division","Section","Division/Section seeded"
"97","staff.unit29@denr.gov.ph","Section Staff","Unit 29","SECTION_STAFF","Compliance, Monitoring & Investigation","Section","Enforcement Division","Section","Division/Section seeded"
"84","staff.unit16@denr.gov.ph","Section Staff","Unit 16","SECTION_STAFF","Forest Utilization","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
"104","staff.unit36@denr.gov.ph","Section Staff","Unit 36","SECTION_STAFF","General Services","Section","Administrative Division","Section","Division/Section seeded"
"102","staff.unit34@denr.gov.ph","Section Staff","Unit 34","SECTION_STAFF","HRDM (Human Resource Development Management)","Section","Administrative Division","Section","Division/Section seeded"
"89","staff.unit21@denr.gov.ph","Section Staff","Unit 21","SECTION_STAFF","Land Evaluation Surveys","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"92","staff.unit24@denr.gov.ph","Section Staff","Unit 24","SECTION_STAFF","Land Records","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"99","staff.unit31@denr.gov.ph","Section Staff","Unit 31","SECTION_STAFF","Monitoring & Evaluation","Section","Planning and Management Division (PMD)","Section","Division/Section seeded"
"91","staff.unit23@denr.gov.ph","Section Staff","Unit 23","SECTION_STAFF","Original & Other Surveys","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"93","staff.unit25@denr.gov.ph","Section Staff","Unit 25","SECTION_STAFF","PA Management & Biodiversity Conservation","Section","Conservation & Devt. Division","Section","Division/Section seeded"
"87","staff.unit19@denr.gov.ph","Section Staff","Unit 19","SECTION_STAFF","Patents and Deeds","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
"101","staff.unit33@denr.gov.ph","Section Staff","Unit 33","SECTION_STAFF","Personnel","Section","Administrative Division","Section","Division/Section seeded"
"98","staff.unit30@denr.gov.ph","Section Staff","Unit 30","SECTION_STAFF","Planning & Programming","Section","Planning and Management Division (PMD)","Section","Division/Section seeded"
"103","staff.unit35@denr.gov.ph","Section Staff","Unit 35","SECTION_STAFF","Procurement","Section","Administrative Division","Section","Division/Section seeded"
"94","staff.unit26@denr.gov.ph","Section Staff","Unit 26","SECTION_STAFF","Production Forest Management","Section","Conservation & Devt. Division","Section","Division/Section seeded"
"105","staff.unit37@denr.gov.ph","Section Staff","Unit 37","SECTION_STAFF","Records","Section","Administrative Division","Section","Division/Section seeded"
"100","staff.unit32@denr.gov.ph","Section Staff","Unit 32","SECTION_STAFF","Regional ICT Unit","Section","Planning and Management Division (PMD)","Section","Division/Section seeded"
"96","staff.unit28@denr.gov.ph","Section Staff","Unit 28","SECTION_STAFF","Surveillance & Intelligence","Section","Enforcement Division","Section","Division/Section seeded"
"88","staff.unit20@denr.gov.ph","Section Staff","Unit 20","SECTION_STAFF","Surveys & Control","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"86","staff.unit18@denr.gov.ph","Section Staff","Unit 18","SECTION_STAFF","Water Resources Utilization","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
"85","staff.unit17@denr.gov.ph","Section Staff","Unit 17","SECTION_STAFF","Wildlife Resource Permitting","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
